"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"18748","10.824139","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15777793 Win=65535 Len=0","20","2","2","","","0.000117000","1.160169000"
"18752","10.824254","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15781889 Win=65535 Len=0","20","2","2","","","0.000068000","1.160284000"
"18759","10.824495","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15784809 Win=65535 Len=0","20","2","2","","","0.000062000","1.160525000"
"18760","10.824522","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15787445 Win=65535 Len=0","20","2","2","","","0.000027000","1.160552000"
"18761","10.824559","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15790081 Win=65535 Len=0","20","2","2","","","0.000037000","1.160589000"
"18765","10.824781","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15794177 Win=65535 Len=0","20","2","2","","","0.000063000","1.160811000"
"18775","10.825050","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15799733 Win=65535 Len=0","20","2","2","","","0.000035000","1.161080000"
"18777","10.825191","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15802369 Win=65535 Len=0","20","2","2","","","0.000128000","1.161221000"
"18778","10.825236","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15805289 Win=65535 Len=0","20","2","2","","","0.000045000","1.161266000"
"18779","10.825287","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15806465 Win=65535 Len=0","20","2","2","","","0.000051000","1.161317000"
"18783","10.825489","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15809385 Win=65535 Len=0","20","2","2","","","0.000048000","1.161519000"
"18785","10.825543","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15810561 Win=65535 Len=0","20","2","2","","","0.000030000","1.161573000"
"18788","10.825596","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15813481 Win=65535 Len=0","20","2","2","","","0.000033000","1.161626000"
"18792","10.825693","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15816117 Win=65535 Len=0","20","2","2","","","0.000035000","1.161723000"
"18796","10.825884","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15818753 Win=65535 Len=0","20","2","2","","","0.000038000","1.161914000"
"18797","10.825920","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15821673 Win=65535 Len=0","20","2","2","","","0.000036000","1.161950000"
"18799","10.825961","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15822849 Win=65535 Len=0","20","2","2","","","0.000016000","1.161991000"
"18802","10.826078","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15826945 Win=65535 Len=0","20","2","2","","","0.000068000","1.162108000"
"18809","10.826326","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15835137 Win=65535 Len=0","20","2","2","","","0.000039000","1.162356000"
"18813","10.826449","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15839233 Win=65535 Len=0","20","2","2","","","0.000070000","1.162479000"
"18820","10.826701","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15847425 Win=65535 Len=0","20","2","2","","","0.000060000","1.162731000"
"18824","10.826859","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15850345 Win=65535 Len=0","20","2","2","","","0.000068000","1.162889000"
"18825","10.826887","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15851521 Win=65535 Len=0","20","2","2","","","0.000028000","1.162917000"
"18830","10.827072","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15857077 Win=65535 Len=0","20","2","2","","","0.000046000","1.163102000"
"18833","10.827164","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15859713 Win=65535 Len=0","20","2","2","","","0.000074000","1.163194000"
"18837","10.827262","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15863809 Win=65535 Len=0","20","2","2","","","0.000055000","1.163292000"
"18844","10.827517","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15872001 Win=65535 Len=0","20","2","2","","","0.000042000","1.163547000"
"18848","10.827675","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15876097 Win=65535 Len=0","20","2","2","","","0.000055000","1.163705000"
"18855","10.827908","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15884289 Win=65535 Len=0","20","2","2","","","0.000063000","1.163938000"
"18861","10.828203","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15887209 Win=65535 Len=0","20","2","2","","","0.000035000","1.164233000"
"18864","10.828256","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15889845 Win=65535 Len=0","20","2","2","","","0.000035000","1.164286000"
"18867","10.828315","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15892481 Win=65535 Len=0","20","2","2","","","0.000040000","1.164345000"
"18868","10.828349","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15895401 Win=65535 Len=0","20","2","2","","","0.000034000","1.164379000"
"18869","10.828548","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15896577 Win=65535 Len=0","20","2","2","","","0.000199000","1.164578000"
"18877","10.828739","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15904769 Win=65535 Len=0","20","2","2","","","0.000103000","1.164769000"
"18887","10.829100","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15917057 Win=65535 Len=0","20","2","2","","","0.000039000","1.165130000"
"18891","10.829463","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15919977 Win=65535 Len=0","20","2","2","","","0.000041000","1.165493000"
"18894","10.829518","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15921153 Win=65535 Len=0","20","2","2","","","0.000028000","1.165548000"
"18896","10.829560","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15924073 Win=65535 Len=0","20","2","2","","","0.000029000","1.165590000"
"18899","10.829628","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15926709 Win=65535 Len=0","20","2","2","","","0.000033000","1.165658000"
"18903","10.829841","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15929345 Win=65535 Len=0","20","2","2","","","0.000032000","1.165871000"
"18905","10.829882","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15932265 Win=65535 Len=0","20","2","2","","","0.000028000","1.165912000"
"18909","10.829946","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15934901 Win=65535 Len=0","20","2","2","","","0.000039000","1.165976000"
"18910","10.829980","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15937537 Win=65535 Len=0","20","2","2","","","0.000034000","1.166010000"
"18914","10.830261","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15940457 Win=65535 Len=0","20","2","2","","","0.000048000","1.166291000"
"18915","10.830289","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15941633 Win=65535 Len=0","20","2","2","","","0.000028000","1.166319000"
"18919","10.830396","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15945729 Win=65535 Len=0","20","2","2","","","0.000044000","1.166426000"
"18923","10.830504","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15949825 Win=65535 Len=0","20","2","2","","","0.000050000","1.166534000"
"18933","10.830865","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15962113 Win=65535 Len=0","20","2","2","","","0.000070000","1.166895000"
"18941","10.831310","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15965033 Win=65535 Len=0","20","2","2","","","0.000032000","1.167340000"
"18944","10.831366","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15967669 Win=65535 Len=0","20","2","2","","","0.000030000","1.167396000"
"18945","10.831394","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15970305 Win=65535 Len=0","20","2","2","","","0.000028000","1.167424000"
"18946","10.831429","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15973225 Win=65535 Len=0","20","2","2","","","0.000035000","1.167459000"
"18947","10.831457","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15974401 Win=65535 Len=0","20","2","2","","","0.000028000","1.167487000"
"18953","10.831678","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15977321 Win=65535 Len=0","20","2","2","","","0.000033000","1.167708000"
"18955","10.831725","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15978497 Win=65535 Len=0","20","2","2","","","0.000031000","1.167755000"
