"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"40932","84.686152","201-223-19-187.baf.movistar.cl","172.31.187.1","TCP","1414","53813  >  4890 [ACK] Seq=42765 Ack=16870 Win=17167 Len=1360","20","Class Selector 2","CS2","","","0.019601000","81.525703000"
"40934","84.728367","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","1506","29890  >  35515 [ACK] Seq=79038 Ack=404967 Win=33120 Len=1440 TSval=980370080 TSecr=284244[Packet size limited during capture]","32","Class Selector 2","CS2","","","0.128193000","81.935112000"
"40935","84.730164","89-180-134-143.net.novis.pt","172.31.187.1","TCP","1474","[TCP Previous segment not captured] mc2studios(1899)  >  35515 [ACK] Seq=206198 Ack=482 Win=32286 Len=1420","20","Class Selector 2","CS2","","","0.178172000","63.927077000"
"40937","84.740170","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=214167 Ack=70324 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.262386000","63.880867000"
"40938","84.743968","89-180-134-143.net.novis.pt","172.31.187.1","TCP","1474","mc2studios(1899)  >  35515 [ACK] Seq=207618 Ack=482 Win=32286 Len=1420","20","Class Selector 2","CS2","","","0.013770000","63.940881000"
"40940","84.747366","dsl-63-116-143-189-dynamic.prod-infinitum.com.mx","172.31.187.1","TCP","1506","itose(4348)  >  35515 [PSH, ACK] Seq=24942 Ack=52 Win=65377 Len=1452","20","Class Selector 2","CS2","","","1.358967000","83.069730000"
"40941","84.754367","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=215619 Ack=70324 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.014197000","63.895064000"
"40943","84.767776","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=217071 Ack=70324 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.013371000","63.908473000"
"40944","84.768360","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4116248 Ack=5277 Win=65535 Len=1448 TSval=790407518 TSecr=284238[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.085387000","84.760339000"
"40950","84.781968","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=218523 Ack=70324 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.014192000","63.922665000"
"40951","84.781987","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","60","mediavault-gui(3673)  >  35515 [ACK] Seq=219975 Ack=71776 Win=257004 Len=0","20","Class Selector 2","CS2","","","0.000019000","63.922684000"
"40953","84.790755","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4117696 Ack=5277 Win=65535 Len=1448 TSval=790407518 TSecr=284238[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.022395000","84.782734000"
"40955","84.798553","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","mediavault-gui(3673)  >  35515 [ACK] Seq=219975 Ack=73228 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.016537000","63.939250000"
"40957","84.811954","79.103.7.97.dsl.dyn.forthnet.gr","172.31.187.1","TCP","1506","[TCP Spurious Retransmission] mediavault-gui(3673)  >  35515 [ACK] Seq=214167 Ack=73228 Win=257004 Len=1452","20","Class Selector 2","CS2","","","0.013382000","63.952651000"
"40959","84.820154","200-112-71-33.baf.movistar.cl","172.31.187.1","TCP","1414","17739  >  35515 [ACK] Seq=212204 Ack=489 Win=17192 Len=1360","20","Class Selector 2","CS2","","","0.858394000","73.101175000"
"40960","84.822553","200-112-71-33.baf.movistar.cl","172.31.187.1","TCP","154","17739  >  35515 [PSH, ACK] Seq=213564 Ack=489 Win=17192 Len=100","20","Class Selector 2","CS2","","","0.002399000","73.103574000"
"40962","84.831554","201-223-19-187.baf.movistar.cl","172.31.187.1","TCP","1414","53813  >  4890 [ACK] Seq=44125 Ack=16870 Win=17167 Len=1360","20","Class Selector 2","CS2","","","0.145387000","81.671105000"
"40963","84.847157","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4119144 Ack=5277 Win=65535 Len=1448 TSval=790407518 TSecr=284239[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.056378000","84.839136000"
"40964","84.850554","c-213-112-80-192.bbcust.telenor.se","172.31.187.1","TCP","1434","19898  >  4954 [PSH, ACK] Seq=214701 Ack=714115 Win=17520 Len=1380","20","Class Selector 2","CS2","","","0.079742000","77.401903000"
"40965","84.852154","201-223-19-187.baf.movistar.cl","172.31.187.1","TCP","1414","53813  >  4890 [ACK] Seq=45485 Ack=16870 Win=17167 Len=1360","20","Class Selector 2","CS2","","","0.020600000","81.691705000"
"40967","84.856154","dsl-63-116-143-189-dynamic.prod-infinitum.com.mx","172.31.187.1","TCP","1506","itose(4348)  >  35515 [PSH, ACK] Seq=26394 Ack=52 Win=65377 Len=1452","20","Class Selector 2","CS2","","","0.108788000","83.178518000"
"40969","84.862354","89-180-134-143.net.novis.pt","172.31.187.1","TCP","1474","mc2studios(1899)  >  35515 [ACK] Seq=209038 Ack=482 Win=32286 Len=1420","20","Class Selector 2","CS2","","","0.118347000","64.059267000"
"40971","84.869153","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4120592 Ack=5277 Win=65535 Len=1448 TSval=790407518 TSecr=284239[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021996000","84.861132000"
"40976","84.905559","81.202.1.81.dyn.user.ono.com","172.31.187.1","TCP","64","19027  >  4926 [PSH, ACK] Seq=5697 Ack=386 Win=65535 Len=10","20","Assured Forwarding 21","AF21","","","0.134771000","84.663140000"
"40977","84.911355","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4122040 Ack=5277 Win=65535 Len=1448 TSval=790407518 TSecr=284239[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.042186000","84.903334000"
"40978","84.914356","201-223-19-187.baf.movistar.cl","172.31.187.1","TCP","1414","53813  >  4890 [ACK] Seq=46845 Ack=16870 Win=17167 Len=1360","20","Class Selector 2","CS2","","","0.062184000","81.753907000"
