"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"5","0.008065","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","66","35515  >  57857 [ACK] Seq=290 Ack=1449 Win=65535 Len=0 TSval=283399 TSecr=790406671","32","Default","CS0","","","0.000044000","0.000044000"
"10","0.040432","172.31.187.1","190-21-6-36.baf.movistar.cl","TCP","54","4863  >  48462 [ACK] Seq=18 Ack=1441 Win=65535 Len=0","20","Default","CS0","","","0.000025000","0.000025000"
"12","0.050465","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","66","35515  >  57857 [ACK] Seq=290 Ack=4345 Win=65535 Len=0 TSval=283400 TSecr=790406671","32","Default","CS0","","","0.000043000","0.042444000"
"15","0.077949","172.31.187.1","82-169-35-178.fixed.kpn.net","BT-DHT","148","","","Default","CS0","","","",""
"17","0.093462","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","66","35515  >  57857 [ACK] Seq=290 Ack=7241 Win=65535 Len=0 TSval=283400 TSecr=790406671","32","Default","CS0","","","0.000041000","0.085441000"
"21","0.121254","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","66","35515  >  57857 [ACK] Seq=290 Ack=9158 Win=65535 Len=0 TSval=283401 TSecr=790406671","32","Default","CS0","","","0.000036000","0.113233000"
"37","0.152872","172.31.187.1","74.246.217.87.dynamic.jazztel.es","TCP","54","[TCP ACKed unseen segment] 4955  >  18638 [ACK] Seq=1 Ack=2513 Win=65535 Len=0","20","Default","CS0","","","0.000049000","0.000049000"
"38","0.153024","172.31.187.1","74.246.217.87.dynamic.jazztel.es","TCP","71","4955  >  18638 [PSH, ACK] Seq=1 Ack=2513 Win=65535 Len=17","20","Default","CS0","","","0.000152000","0.000201000"
"44","0.214268","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","66","35515  >  57857 [ACK] Seq=290 Ack=12054 Win=65535 Len=0 TSval=283401 TSecr=790406674","32","Default","CS0","","","0.000044000","0.206247000"
"45","0.229898","172.31.187.1","114.205.219.87.dynamic.jazztel.es","TCP","54","4964  >  6881 [ACK] Seq=1 Ack=421 Win=65535 Len=0","20","Default","CS0","","","0.215090000","0.215090000"
"46","0.229920","172.31.187.1","190-21-6-36.baf.movistar.cl","TCP","54","4863  >  48462 [ACK] Seq=18 Ack=2881 Win=65535 Len=0","20","Default","CS0","","","0.124101000","0.189513000"
"47","0.229931","172.31.187.1","212.174.114.237.static.ttnet.com.tr","TCP","54","35515  >  62433 [ACK] Seq=1 Ack=1461 Win=65535 Len=0","20","Default","CS0","","","0.194313000","0.194313000"
"51","0.257869","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","66","35515  >  57857 [ACK] Seq=290 Ack=14950 Win=65535 Len=0 TSval=283402 TSecr=790406674","32","Default","CS0","","","0.000045000","0.249848000"
"54","0.300460","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","66","35515  >  57857 [ACK] Seq=290 Ack=17846 Win=65535 Len=0 TSval=283402 TSecr=790406674","32","Default","CS0","","","0.000039000","0.292439000"
"58","0.341644","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","66","35515  >  57857 [ACK] Seq=290 Ack=20742 Win=65535 Len=0 TSval=283403 TSecr=790406674","32","Default","CS0","","","0.000029000","0.333623000"
"62","0.384430","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","78","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283403 TSecr=790406674[Packet size limited during capture]","44","Default","CS0","","","0.000019000","0.376409000"
"63","0.386484","172.31.187.1","c-66-229-89-178.hsd1.fl.comcast.net","BT-DHT","148","","","Default","CS0","","","",""
"66","0.407038","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","78","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283403 TSecr=790406674[Packet size limited during capture]","44","Default","CS0","","","0.000024000","0.399017000"
"67","0.417378","172.31.187.1","87-196-219-109.net.novis.pt","TCP","71","4916  >  19304 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=17","20","Default","CS0","","","0.000000000","0.000000000"
"69","0.429230","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","78","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283403 TSecr=790406674[Packet size limited during capture]","44","Default","CS0","","","0.000017000","0.421209000"
"70","0.448608","172.31.187.1","81.202.1.81.dyn.user.ono.com","TCP","54","4926  >  19027 [ACK] Seq=1 Ack=19 Win=65062 Len=0","20","Default","CS0","","","0.206189000","0.206189000"
"71","0.448621","172.31.187.1","114.205.219.87.dynamic.jazztel.es","TCP","54","4964  >  6881 [ACK] Seq=1 Ack=931 Win=65025 Len=0","20","Default","CS0","","","0.111606000","0.433813000"
"73","0.450427","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283404 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000015000","0.442406000"
"76","0.463511","172.31.187.1","88-123-145-205.subs.proxad.net","BT-DHT","148","","","Default","CS0","","","",""
"78","0.471848","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283404 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000029000","0.463827000"
"90","0.536065","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283404 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000036000","0.528044000"
"93","0.557231","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283404 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000016000","0.549210000"
"94","0.557976","172.31.187.1","dsl-173-221-156-189-dynamic.prod-infinitum.com.mx","TCP","54","35515  >  64660 [ACK] Seq=1 Ack=562 Win=64906 Len=0","20","Default","CS0","","","0.164761000","0.164761000"
"96","0.570432","172.31.187.1","114.205.219.87.dynamic.jazztel.es","TCP","54","4964  >  6881 [ACK] Seq=1 Ack=2977 Win=65535 Len=0","20","Default","CS0","","","0.000019000","0.555624000"
"98","0.577228","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283405 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000014000","0.569207000"
"103","0.631836","172.31.187.1","pc-166-29-100-190.cm.vtr.net","TCP","54","4946  >  19159 [ACK] Seq=1 Ack=2921 Win=65535 Len=0","20","Default","CS0","","","0.000021000","0.008215000"
"105","0.637436","172.31.187.1","dsl-178-125-146-189-dynamic.prod-infinitum.com.mx","TCP","66","35515  >  59314 [ACK] Seq=1 Ack=2881 Win=65535 Len=0 TSval=283405 TSecr=358623041","32","Default","CS0","","","0.000019000","0.052823000"
"107","0.641919","172.31.187.1","218.81.247.104","BT-DHT","323","","","Default","CS0","","","",""
"109","0.663641","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283405 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000022000","0.655620000"
"110","0.667343","172.31.187.1","212.174.114.237.static.ttnet.com.tr","TCP","54","35515  >  62433 [ACK] Seq=1 Ack=2921 Win=65535 Len=0","20","Default","CS0","","","0.179730000","0.631725000"
"113","0.683630","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283406 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000014000","0.675609000"
"116","0.706229","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283406 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000013000","0.698208000"
"118","0.727635","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283406 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000017000","0.719614000"
"121","0.748855","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283406 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000030000","0.740834000"
"124","0.769032","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283406 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000015000","0.761011000"
"126","0.772831","172.31.187.1","87-196-219-109.net.novis.pt","TCP","54","4916  >  19304 [ACK] Seq=18 Ack=2881 Win=65535 Len=0","20","Default","CS0","","","0.000015000","0.355453000"
"128","0.780840","172.31.187.1","74.246.217.87.dynamic.jazztel.es","TCP","54","4955  >  18638 [ACK] Seq=18 Ack=5397 Win=65535 Len=0","20","Default","CS0","","","0.000020000","0.628017000"
"130","0.791433","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283408 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000016000","0.783412000"
"135","0.812650","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283408 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000027000","0.804629000"
"137","0.817235","172.31.187.1","74.246.217.87.dynamic.jazztel.es","TCP","54","4955  >  18638 [ACK] Seq=18 Ack=8281 Win=65535 Len=0","20","Default","CS0","","","0.000018000","0.664412000"
"139","0.825869","172.31.187.1","87-196-219-109.net.novis.pt","TCP","54","4916  >  19304 [ACK] Seq=18 Ack=5761 Win=65535 Len=0","20","Default","CS0","","","0.000041000","0.408491000"
"141","0.832838","172.31.187.1","78-59-201-167.static.zebra.lt","TCP","86","35515  >  57857 [ACK] Seq=290 Ack=22190 Win=64087 Len=0 TSval=283408 TSecr=790406674[Packet size limited during capture]","52","Default","CS0","","","0.000020000","0.824817000"
