"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"17962","10.785441","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=15027049 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000025000","1.121471000"
"17964","10.785499","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=15028225 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000028000","1.121529000"
"17965","10.785549","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=15029685 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000050000","1.121579000"
"17966","10.785558","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=15031145 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000009000","1.121588000"
"17968","10.785603","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=15032321 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000015000","1.121633000"
"17969","10.785607","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=15033781 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000004000","1.121637000"
"17970","10.785649","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=15035241 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000042000","1.121679000"
"17972","10.785787","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=15036417 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000104000","1.121817000"
"17973","10.785796","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=15037877 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000009000","1.121826000"
"17974","10.785801","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=15039337 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000005000","1.121831000"
"17979","10.789603","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=15040513 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000223000","1.125633000"
"17980","10.789622","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=15041973 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000019000","1.125652000"
